$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py
  try_ttsize.py    compiled  15.3s   222 plies legal   34.5s total
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_ttsize.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
    520 games  +182 =168 -170  elo +8 +/- 30  LLR +0.54  (9 min)
    560 games  +195 =181 -184  elo +7 +/- 29  LLR +0.47  (10 min)
    600 games  +212 =194 -194  elo +10 +/- 28  LLR +0.85  (11 min)
    640 games  +229 =205 -206  elo +12 +/- 27  LLR +1.12  (11 min)
    680 games  +244 =217 -219  elo +13 +/- 26  LLR +1.21  (12 min)
    720 games  +257 =235 -228  elo +14 +/- 25  LLR +1.44  (13 min)
    760 games  +271 =244 -245  elo +12 +/- 25  LLR +1.25  (13 min)
    800 games  +284 =259 -257  elo +12 +/- 24  LLR +1.30  (14 min)
    840 games  +297 =274 -269  elo +12 +/- 24  LLR +1.36  (15 min)
    880 games  +305 =292 -283  elo +9 +/- 23  LLR +1.02  (15 min)
    920 games  +321 =302 -297  elo +9 +/- 22  LLR +1.12  (16 min)
    960 games  +333 =317 -310  elo +8 +/- 22  LLR +1.05  (16 min)
   1000 games  +350 =329 -321  elo +10 +/- 22  LLR +1.38  (17 min)
   1040 games  +361 =343 -336  elo +8 +/- 21  LLR +1.15  (18 min)
   1080 games  +373 =356 -351  elo +7 +/- 21  LLR +0.97  (18 min)
   1120 games  +389 =366 -365  elo +7 +/- 20  LLR +1.07  (19 min)
   1160 games  +409 =372 -379  elo +9 +/- 20  LLR +1.38  (20 min)
   1200 games  +423 =379 -398  elo +7 +/- 20  LLR +1.08  (20 min)
   1240 games  +439 =396 -405  elo +10 +/- 19  LLR +1.58  (21 min)
   1280 games  +452 =406 -422  elo +8 +/- 19  LLR +1.34  (22 min)
   1320 games  +466 =417 -437  elo +8 +/- 19  LLR +1.28  (22 min)
   1360 games  +484 =433 -443  elo +10 +/- 18  LLR +1.93  (23 min)
   1400 games  +498 =448 -454  elo +11 +/- 18  LLR +2.09  (24 min)
   1440 games  +506 =468 -466  elo +10 +/- 18  LLR +1.87  (24 min)
   1480 games  +522 =477 -481  elo +10 +/- 18  LLR +1.91  (25 min)
   1520 games  +531 =497 -492  elo +9 +/- 17  LLR +1.81  (26 min)
   1560 games  +542 =510 -508  elo +8 +/- 17  LLR +1.52  (26 min)
   1600 games  +559 =520 -521  elo +8 +/- 17  LLR +1.72  (27 min)
   1640 games  +575 =528 -537  elo +8 +/- 17  LLR +1.71  (28 min)
   1680 games  +588 =544 -548  elo +8 +/- 17  LLR +1.81  (28 min)
   1720 games  +599 =560 -561  elo +8 +/- 16  LLR +1.70  (29 min)
   1760 games  +615 =569 -576  elo +8 +/- 16  LLR +1.74  (29 min)
   1800 games  +631 =577 -592  elo +8 +/- 16  LLR +1.72  (30 min)
   1840 games  +643 =589 -608  elo +7 +/- 16  LLR +1.49  (31 min)
   1880 games  +655 =605 -620  elo +6 +/- 16  LLR +1.48  (31 min)
   1920 games  +665 =620 -635  elo +5 +/- 16  LLR +1.20  (32 min)
   1960 games  +681 =629 -650  elo +5 +/- 15  LLR +1.24  (33 min)
   2000 games  +697 =639 -664  elo +6 +/- 15  LLR +1.34  (33 min)
   2040 games  +709 =646 -685  elo +4 +/- 15  LLR +0.83  (34 min)
   2080 games  +719 =661 -700  elo +3 +/- 15  LLR +0.55  (35 min)
   2120 games  +729 =675 -716  elo +2 +/- 15  LLR +0.21  (35 min)
   2160 games  +746 =684 -730  elo +3 +/- 15  LLR +0.37  (36 min)
   2200 games  +762 =695 -743  elo +3 +/- 15  LLR +0.52  (36 min)
   2240 games  +780 =703 -757  elo +4 +/- 14  LLR +0.73  (37 min)
   2280 games  +791 =713 -776  elo +2 +/- 14  LLR +0.28  (38 min)
   2320 games  +802 =730 -788  elo +2 +/- 14  LLR +0.22  (38 min)
   2360 games  +816 =746 -798  elo +3 +/- 14  LLR +0.43  (39 min)
   2400 games  +830 =756 -814  elo +2 +/- 14  LLR +0.31  (40 min)
   2440 games  +841 =776 -823  elo +3 +/- 14  LLR +0.41  (40 min)
   2480 games  +860 =786 -834  elo +4 +/- 14  LLR +0.84  (41 min)
   2520 games  +877 =801 -842  elo +5 +/- 14  LLR +1.32  (42 min)
   2560 games  +890 =812 -858  elo +4 +/- 13  LLR +1.15  (42 min)
   2600 games  +905 =824 -871  elo +5 +/- 13  LLR +1.25  (43 min)
   2640 games  +914 =839 -887  elo +4 +/- 13  LLR +0.86  (43 min)
   2680 games  +935 =848 -897  elo +5 +/- 13  LLR +1.45  (44 min)
   2720 games  +950 =862 -908  elo +5 +/- 13  LLR +1.66  (45 min)
   2760 games  +965 =874 -921  elo +6 +/- 13  LLR +1.76  (45 min)
   2800 games  +977 =887 -936  elo +5 +/- 13  LLR +1.58  (46 min)
   2840 games  +992 =899 -949  elo +5 +/- 13  LLR +1.68  (47 min)
   2880 games  +1004 =909 -967  elo +4 +/- 13  LLR +1.34  (47 min)
   2920 games  +1021 =919 -980  elo +5 +/- 13  LLR +1.55  (48 min)
   2960 games  +1037 =935 -988  elo +6 +/- 13  LLR +1.98  (49 min)
   3000 games  +1051 =943 -1006  elo +5 +/- 12  LLR +1.75  (49 min)
   3040 games  +1061 =957 -1022  elo +4 +/- 12  LLR +1.41  (50 min)
   3080 games  +1071 =962 -1047  elo +3 +/- 12  LLR +0.58  (51 min)
   3120 games  +1083 =980 -1057  elo +3 +/- 12  LLR +0.68  (51 min)
   3160 games  +1098 =990 -1072  elo +3 +/- 12  LLR +0.67  (52 min)
   3200 games  +1112 =1001 -1087  elo +3 +/- 12  LLR +0.61  (53 min)
   3240 games  +1124 =1017 -1099  elo +3 +/- 12  LLR +0.60  (53 min)
   3280 games  +1138 =1031 -1111  elo +3 +/- 12  LLR +0.70  (54 min)
   3320 games  +1151 =1041 -1128  elo +2 +/- 12  LLR +0.47  (55 min)
   3360 games  +1170 =1052 -1138  elo +3 +/- 12  LLR +0.95  (55 min)
   3400 games  +1179 =1068 -1153  elo +3 +/- 12  LLR +0.62  (56 min)
   3440 games  +1188 =1086 -1166  elo +2 +/- 12  LLR +0.39  (57 min)
   3480 games  +1206 =1095 -1179  elo +3 +/- 12  LLR +0.65  (57 min)
   3520 games  +1221 =1104 -1195  elo +3 +/- 11  LLR +0.59  (58 min)
   3560 games  +1238 =1115 -1207  elo +3 +/- 11  LLR +0.85  (58 min)
   3600 games  +1252 =1134 -1214  elo +4 +/- 11  LLR +1.23  (59 min)
   3640 games  +1265 =1145 -1230  elo +3 +/- 11  LLR +1.05  (60 min)
   3680 games  +1279 =1161 -1240  elo +4 +/- 11  LLR +1.26  (60 min)
SPRT: out of time at 60 minutes, undecided - about 8,574 games would settle it
RESULT inconclusive 1279 1161 1240 3.7 11.2 1.264
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\smoke.py C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_aspwin.py
  try_aspwin.py    compiled  14.6s   183 plies legal   32.2s total
$ C:\Users\Rohan Sharma\PycharmProjects\aichessathon\.venv\Scripts\python.exe C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\match_fast.py --candidate C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\try_aspwin.py --champion C:\Users\Rohan Sharma\PycharmProjects\aichessathon\overnight\sprint_champion.py --workers 15 --base-ms 5000 --inc-ms 50 --elo0 -5.0 --elo1 8.0 --max-minutes 60.00
15 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 8.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
     40 games  +9 =13 -18  elo -80 +/- 115  LLR -0.55  (2 min)
     80 games  +24 =24 -32  elo -35 +/- 78  LLR -0.45  (2 min)
    120 games  +35 =34 -51  elo -47 +/- 63  LLR -0.88  (3 min)
    160 games  +48 =49 -63  elo -33 +/- 55  LLR -0.86  (4 min)
    200 games  +64 =68 -68  elo -7 +/- 48  LLR -0.28  (4 min)
